,Ceramide 2,Ceramide 3,Lactic Acid,PCA,Uric Acid,Urea,Melanin,Cholesterol
1,,inf,inf,inf,inf,inf,inf,inf
2,,,inf,inf,inf,inf,inf,inf
3,,inf,inf,inf,inf,inf,inf,inf
4,,inf,inf,inf,inf,inf,inf,
5,0.0,3.216786633648632,12.549392917835693,3.688211096148999,0.19471571122982165,1.5529679976954156,213.6968258220776,0.0
6,,inf,inf,inf,inf,inf,inf,inf
7,,inf,inf,inf,inf,inf,inf,inf
8,,inf,inf,inf,inf,inf,inf,inf
9,,inf,inf,inf,inf,inf,inf,inf
10,,inf,inf,inf,inf,inf,inf,inf
11,,inf,inf,inf,inf,inf,inf,inf
12,,inf,inf,inf,inf,inf,inf,inf
13,,inf,inf,inf,inf,inf,inf,inf
14,0.0,1.5396723066751403,4.727815768234386,1.687434519240297,0.09311910574874531,0.6304555476719651,88.46976921206131,0.036618530020381054
