,Ceramide 2,Ceramide 3,Lactic Acid,PCA,Uric Acid,Urea,Melanin,Cholesterol
1,,,inf,inf,inf,inf,inf,
2,,,inf,inf,inf,inf,inf,inf
3,,,inf,inf,inf,inf,inf,inf
4,,inf,inf,inf,inf,inf,inf,inf
5,,,inf,inf,inf,inf,inf,inf
6,,inf,inf,inf,inf,inf,inf,inf
7,0.0,1.6371754583416123,8.326294467099956,2.6572959211765674,0.16593174970780353,1.6649352131787392,130.3032432281875,0.053202986783129506
8,0.0,0.31161579014429663,1.9915253671671393,0.6976094450354593,0.02682228324530718,0.4623646872180419,32.24670837980099,0.020219778145576052
9,0.0,0.24948522231706047,0.9714005869408148,0.3319769106319536,0.007278598620710404,0.2830122032570942,15.65011877649162,0.0
10,0.0,0.2425184860783612,0.40557236968452864,0.20712169988608417,0.003004339394845712,0.16302281951944428,8.76071508458437,0.005495148451085246
11,0.0,0.23789586759738757,0.2534355761780147,0.12354771356944712,0.0012706644269487226,0.15709038298733216,3.342298763071547,0.006992744578299182
12,0.0,0.21896692465057763,0.18909469491387892,0.09864352196959504,0.0,0.10616689143965699,2.202549354274313,0.002458268883361753
13,0.0,0.23220423482626168,0.10355400707507281,0.15613142561270182,0.0,0.1126837585270322,3.1643234306980146,0.009042456873553801
14,0.0,0.20790782996465626,0.05103980572863692,0.14295744190798867,0.0,0.08450615044824446,4.694584951296951,0.00304284734089188
15,0.0,0.2510838955385019,0.0889355227637896,0.13357225572342377,0.0,0.08830052869118105,4.3960958112082045,0.0
16,,,inf,inf,inf,inf,inf,
